age,income,home_ownership_type,employment_length,loan_amount,loan_interest_rate,is_default,loan_to_income_ratio,has_defaulted_before,credit_history_length,debt_to_stability_ratio
26,74004,RENT,10.0,25000,,1,0.34,1,4,0.1409
25,81000,RENT,5.0,25000,7.29,1,0.31,0,3,0.1723
23,81600,RENT,1.0,25000,11.36,1,0.31,0,3,0.442
24,82000,RENT,8.0,25000,10.25,0,0.3,0,2,0.1388
24,83000,RENT,5.0,25000,11.12,0,0.3,0,3,0.1681
24,83000,RENT,5.0,25000,12.92,0,0.3,1,3,0.1681
24,180000,RENT,8.0,18000,18.64,0,0.1,1,4,0.0455
23,180000,MORTGAGE,8.0,28000,7.51,0,0.16,0,3,0.0644
23,14400,OWN,2.0,4000,16.7,1,0.28,0,2,0.2107
22,14400,OWN,0.0,2100,11.14,0,0.15,0,4,inf
22,84500,RENT,6.0,25000,18.3,0,0.3,0,4,0.152
24,85000,RENT,5.0,25000,10.62,0,0.29,0,4,0.1642
24,180000,MORTGAGE,7.0,14000,11.99,0,0.08,0,2,0.034
26,180000,MORTGAGE,2.0,12000,9.63,0,0.07,0,4,0.0552
25,142800,MORTGAGE,9.0,10000,18.25,1,0.06,0,4,0.0276
23,14664,MORTGAGE,0.0,6000,,1,0.41,0,4,inf
24,87000,RENT,8.0,25000,14.84,0,0.29,0,3,0.1308
24,75000,RENT,0.0,25000,14.7,1,0.33,1,3,inf
23,76000,RENT,7.0,25000,16.02,1,0.33,0,4,0.1582
23,66215,RENT,1.0,25000,15.37,1,0.32,1,2,0.5447
25,90000,RENT,9.0,25000,10.99,0,0.28,0,4,0.1206
21,15000,OWN,0.0,6200,7.9,1,0.41,0,2,inf
26,180000,OWN,2.0,25000,10.99,0,0.14,0,4,0.1054
24,180000,OWN,8.0,21000,11.48,0,0.12,0,3,0.0442
25,180000,OWN,9.0,20000,14.26,0,0.11,1,4,0.0402
26,180000,OWN,0.0,10000,8.0,0,0.06,0,4,inf
25,180000,MORTGAGE,3.0,9950,11.26,0,0.06,0,2,0.0362
23,15000,OWN,7.0,4475,,1,0.3,0,4,0.1196
23,78000,RENT,2.0,25000,16.32,1,0.32,1,3,0.2917
25,66300,RENT,3.0,25000,17.93,1,0.32,1,4,0.272
23,90000,RENT,0.0,25000,11.36,0,0.28,0,3,inf
24,79000,RENT,9.0,25000,14.96,1,0.32,1,4,0.1374
24,91800,RENT,4.0,25000,13.43,0,0.27,1,3,0.1692
25,92000,RENT,6.0,25000,12.69,0,0.27,0,3,0.1396
24,92000,RENT,1.0,25000,12.73,0,0.27,1,4,0.392
23,93600,RENT,3.0,25000,15.21,0,0.27,0,4,0.1927
23,15000,MORTGAGE,1.0,1750,12.68,0,0.12,1,3,0.153
23,70550,RENT,3.0,25000,19.04,1,0.3,1,4,0.2556
25,83800,RENT,2.0,25000,15.95,1,0.3,1,3,0.2716
26,175000,MORTGAGE,3.0,2600,8.9,0,0.01,0,4,0.0097
25,175000,MORTGAGE,10.0,8000,7.9,0,0.05,0,2,0.0173
22,175000,MORTGAGE,6.0,18000,,0,0.1,0,2,0.0481
23,175000,MORTGAGE,8.0,21000,11.99,0,0.12,0,3,0.0496
23,15000,OWN,4.0,4000,13.98,1,0.27,0,4,0.1381
23,15000,OWN,4.0,4600,10.99,1,0.31,0,2,0.1588
22,88000,RENT,6.0,25000,15.58,1,0.28,1,2,0.146
25,74800,RENT,2.0,25000,10.99,1,0.28,0,2,0.3042
25,88000,RENT,0.0,25000,14.96,1,0.28,0,4,inf
25,15000,OWN,2.0,1750,15.31,0,0.12,1,4,0.0885
26,88000,RENT,2.0,25000,15.65,1,0.28,0,3,0.2586
25,100000,RENT,1.0,25000,9.33,0,0.25,0,4,0.3607
23,15000,MORTGAGE,0.0,3600,13.47,1,0.24,0,4,inf
24,102400,RENT,8.0,25000,10.36,0,0.24,0,3,0.1111
24,92000,RENT,1.0,25000,16.77,1,0.27,1,4,0.392
23,93000,RENT,0.0,25000,14.59,1,0.27,1,2,inf
22,175000,RENT,6.0,3500,11.91,0,0.02,1,2,0.0103
23,175000,MORTGAGE,3.0,7200,8.38,0,0.04,0,3,0.027
25,174708,RENT,9.0,9000,10.59,0,0.05,0,3,0.0224
25,174000,MORTGAGE,2.0,8800,14.27,0,0.05,0,3,0.0419
26,174000,RENT,8.0,12000,12.53,0,0.07,0,4,0.0314
25,162000,MORTGAGE,5.0,25000,16.0,1,0.15,1,3,0.0783
26,173467,MORTGAGE,10.0,10000,11.71,0,0.06,0,4,0.0219
21,15000,OWN,0.0,3175,11.54,1,0.21,1,3,inf
25,96000,RENT,2.0,25000,15.68,1,0.26,1,4,0.237
21,15120,MORTGAGE,0.0,1500,10.59,0,0.1,0,2,inf
24,97908,RENT,8.0,25000,12.61,1,0.26,1,2,0.1162
26,110000,RENT,3.0,25000,,0,0.23,1,2,0.1639
23,15204,MORTGAGE,7.0,2800,8.49,1,0.18,0,3,0.0805
25,159600,RENT,0.0,30000,17.27,1,0.19,1,4,inf
24,171500,RENT,6.0,18000,8.9,0,0.1,0,4,0.0539
25,170004,MORTGAGE,3.0,10000,11.11,0,0.06,0,4,0.0386
24,158004,RENT,0.0,25000,14.59,1,0.16,1,2,inf
26,170000,RENT,0.0,13000,12.42,0,0.08,0,3,inf
24,83300,RENT,0.0,25000,,1,0.26,0,2,inf
24,110000,RENT,7.0,25000,15.7,0,0.23,1,2,0.1093
22,15360,OWN,7.0,2500,12.53,1,0.16,0,3,0.0652
25,134300,RENT,3.0,5000,16.49,1,0.03,0,2,0.0269
25,170000,MORTGAGE,2.0,20000,7.49,0,0.12,0,2,0.0974
22,100580,RENT,6.0,25000,14.96,1,0.25,1,2,0.1277
25,113000,RENT,7.0,25000,12.73,0,0.22,1,4,0.1064
24,120000,RENT,8.0,25000,10.65,0,0.21,0,4,0.0948
25,120000,RENT,6.0,25000,10.74,0,0.21,0,2,0.1071
23,120000,RENT,7.0,25000,9.99,0,0.21,0,2,0.1002
24,91800,RENT,5.0,25000,15.33,1,0.23,1,2,0.152
21,15600,OWN,5.0,1000,7.29,0,0.06,0,4,0.0298
26,108000,RENT,2.0,25000,15.05,1,0.23,0,3,0.2107
26,129996,RENT,6.0,25000,10.75,0,0.19,0,3,0.0988
23,130000,RENT,4.0,25000,16.02,0,0.19,1,2,0.1195
23,130000,RENT,7.0,25000,11.49,0,0.19,0,4,0.0925
25,170000,OWN,4.0,20000,12.53,0,0.12,0,4,0.0609
26,170000,MORTGAGE,0.0,12000,13.57,0,0.07,1,2,inf
22,169000,RENT,1.0,14000,11.14,0,0.08,0,3,0.1195
26,168750,RENT,10.0,24250,12.87,0,0.14,1,3,0.0599
23,168600,RENT,3.0,20000,11.58,0,0.12,0,3,0.0856
24,168288,RENT,5.0,1800,11.12,0,0.01,0,3,0.006
25,168000,MORTGAGE,2.0,35000,10.65,0,0.21,0,2,0.1724
24,133300,RENT,6.0,25000,10.37,0,0.19,0,2,0.0964
24,15600,OWN,5.0,3300,6.39,1,0.21,0,4,0.0984
24,134000,RENT,8.0,25000,16.07,0,0.19,1,3,0.0849
25,134000,RENT,7.0,25000,10.62,0,0.19,0,2,0.0897
25,15600,OWN,0.0,3200,18.09,1,0.21,0,2,inf
25,135000,RENT,5.0,25000,11.36,0,0.19,0,4,0.1034
26,135660,RENT,10.0,25000,12.53,0,0.18,0,4,0.0769
25,145000,RENT,0.0,25000,9.99,0,0.17,0,4,inf
23,150000,RENT,4.0,25000,10.36,0,0.17,0,3,0.1036
23,165000,MORTGAGE,3.0,9600,5.99,0,0.06,0,3,0.0382
22,153000,MORTGAGE,5.0,24000,15.62,1,0.16,1,2,0.0796
24,165000,MORTGAGE,5.0,20000,10.37,0,0.12,0,4,0.0615
25,165000,MORTGAGE,0.0,25000,19.74,0,0.15,0,4,inf
21,165000,MORTGAGE,5.0,20000,6.91,0,0.12,0,4,0.0615
23,16000,OWN,7.0,6000,7.9,1,0.38,0,2,0.1503
23,16000,MORTGAGE,3.0,2275,13.06,0,0.14,1,4,0.0932
23,16000,OWN,7.0,2000,6.39,0,0.13,0,3,0.0501
23,148000,RENT,1.0,25000,14.93,1,0.17,0,3,0.2437
23,16000,MORTGAGE,1.0,5600,12.84,1,0.35,0,4,0.459
24,16020,OWN,3.0,3625,17.14,1,0.23,1,2,0.136
22,16094,MORTGAGE,2.0,5500,7.14,1,0.34,0,3,0.2828
25,175000,RENT,2.0,25000,8.9,0,0.14,0,2,0.13
22,16200,OWN,6.0,2000,12.42,0,0.12,0,3,0.0529
24,185000,RENT,7.0,25000,12.68,0,0.14,1,2,0.065
25,162000,RENT,9.0,25000,11.03,0,0.15,0,2,0.067
26,161000,RENT,10.0,30000,7.9,0,0.19,0,4,0.0777
22,160000,MORTGAGE,0.0,35000,10.65,0,0.22,0,4,inf
25,225000,RENT,5.0,25000,11.86,0,0.11,0,4,0.062
25,16400,OWN,1.0,5000,8.94,1,0.3,0,4,0.3665
23,16500,OWN,6.0,4375,9.63,1,0.27,0,4,0.1136
25,49500,RENT,6.0,24750,14.22,1,0.5,0,3,0.2569
23,60000,RENT,4.0,24750,9.33,1,0.41,0,3,0.2563
24,84200,RENT,8.0,24500,13.85,0,0.29,0,4,0.1324
22,16800,MORTGAGE,5.0,2000,10.65,0,0.12,0,2,0.0604
24,92000,RENT,8.0,24500,11.46,0,0.27,0,4,0.1212
23,160000,MORTGAGE,5.0,35000,7.66,0,0.22,0,2,0.111
24,160000,MORTGAGE,9.0,12000,16.77,0,0.07,0,4,0.0296
25,160000,MORTGAGE,1.0,12000,9.63,0,0.07,0,4,0.0984
26,160000,RENT,6.0,25000,12.23,0,0.16,1,4,0.0803
25,125800,MORTGAGE,0.0,10000,14.09,1,0.07,0,4,inf
25,54000,RENT,2.0,24250,13.98,1,0.45,0,4,0.4088
23,62500,RENT,1.0,24250,10.62,1,0.39,0,4,0.5598
25,68400,RENT,9.0,24250,17.56,1,0.35,0,4,0.154
26,56045,RENT,1.0,24250,14.96,1,0.37,0,2,0.6242
22,74000,RENT,7.0,24250,15.65,1,0.33,1,2,0.1576
24,65453,RENT,9.0,24250,15.7,1,0.31,0,2,0.1609
24,89908,RENT,1.0,24250,12.53,0,0.27,0,3,0.3891
26,78000,RENT,0.0,24250,17.56,1,0.31,1,3,inf
23,100000,RENT,0.0,24250,12.87,0,0.24,1,2,inf
23,103000,RENT,6.0,24250,15.7,0,0.24,0,2,0.121
25,160000,MORTGAGE,2.0,9000,,0,0.06,0,3,0.0465
25,160000,OWN,5.0,15000,11.14,0,0.09,0,4,0.0436
24,160000,MORTGAGE,3.0,20000,16.0,0,0.13,0,3,0.082
23,160000,MORTGAGE,2.0,25000,15.65,0,0.16,1,2,0.1293
26,160000,MORTGAGE,0.0,13750,,0,0.09,0,4,inf
21,160000,MORTGAGE,3.0,15250,15.31,0,0.1,1,4,0.0625
25,160000,MORTGAGE,3.0,20000,13.47,0,0.13,1,2,0.082
22,16800,MORTGAGE,0.0,4750,13.85,1,0.28,1,2,inf
25,111996,RENT,9.0,24250,,0,0.22,0,3,0.094
21,16800,MORTGAGE,0.0,6000,10.39,1,0.36,0,4,inf
